0.9,2.5,0,0,0,0,0
0.9,2.75,0,0,0,0,0
0.9,3,0,0,0,0,0
0.9,3.25,0,0,0,0,0
0.9,3.5,0,0,0,0,0
0.9,3.75,0,0,0,0,0
0.9,4,0,0.484211,0,1.605,-0.8575
0.9,4.25,8.905143,0.535058,0.00361,1.625,-0.8975
0.9,4.5,10.561148,0.645211,0.003732,1.575,-0.6325
0.9,4.75,15.864013,0.528789,0.001111,1.495,-0.6425
0.9,5,13.123344,0.367277,0.000783,1.345,-0.3475
0.9,5.25,21.795194,0.522142,0.000574,1.335,-0.1275
