bin,fhit,ebin,cut,mc,,1000mcmc,1000mcmc2,1000mcmc5,1000mcrd,1000mcrd2
92,0.618,4.5,4.74,4.65,,4.65,4.65,4.65,3.44 ,3.44 
93,0.618,4.75,0,0,,0,0,0,0.00 ,0.00 
94,0.618,5,0,0,,0,0,0,0.00 ,0.00 
95,0.618,5.25,0,0,,0,0,0,0.00 ,0.00 
96,0.74,2.5,0,0,,0,0,0,0.00 ,0.00 
97,0.74,2.75,0,0,,0,0,0,0.00 ,0.00 
98,0.74,3,0,0,,0,0,0,0.00 ,0.00 
99,0.74,3.25,0,0,,0,0,0,0.00 ,0.00 
100,0.74,3.5,0,0,,0,0,0,0.00 ,0.00 
101,0.74,3.75,0,0,,0,0,0,4.67 ,4.67 
102,0.74,4,17.12,18.31,,18.31,18.31,18.31,18.00 ,18.00 
103,0.74,4.25,16.69,17.38,,17.38,17.38,17.38,17.13 ,17.13 
104,0.74,4.5,0,0,,7.5,7.5,7.5,7.41 ,7.41 
105,0.74,4.75,0,0,,0,0,0,0.00 ,0.00 
106,0.74,5,0,0,,0,0,0,0.00 ,0.00 
107,0.74,5.25,0,0,,0,0,0,0.00 ,0.00 
108,0.84,2.5,0,0,,0,0,0,0.00 ,0.00 
109,0.84,2.75,0,0,,0,0,0,0.00 ,0.00 
110,0.84,3,0,0,,0,0,0,0.00 ,0.00 
111,0.84,3.25,0,0,,0,0,0,0.00 ,0.00 
112,0.84,3.5,0,0,,0,0,0,0.00 ,0.00 
113,0.84,3.75,0,0,,0,0,0,0.00 ,0.00 
114,0.84,4,0,0,,5.1,5.1,5.1,5.13 ,5.13 
115,0.84,4.25,14.9,16.09,,16.09,16.09,16.09,14.92 ,14.92 
116,0.84,4.5,15,15.09,,15.09,15.09,15.09,15.23 ,15.23 
117,0.84,4.75,8.5,8.8,,8.8,8.8,8.8,8.36 ,8.36 
118,0.84,5,3.88,3.21,,3.21,3.21,3.21,2.94 ,2.94 
119,0.84,5.25,0,0,,0,0,0,0.00 ,0.00 
