bin,fhit,ebin,cut,mc,rd,,,,,,,,mcmc500,mcrd500,mcrdthres500,mcmc1200,mcrd1200,mcrdthres1200,mcrd1000,mcrdthres1000,rdmc1000,rdmcthres1000
53,0.247,3.75,10.86,12.98,12.69,,,,,,,,13.34 ,13.05 ,13.05 ,13.66,13.42,13.51,0,13.26,13.27,13.27
54,0.247,4,0,0,4.01,,,,,,,,3.14 ,3.29 ,3.29 ,0,3,3.01,3,3.47,0,0
55,0.247,4.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,1.27,1.27,1.52,0,0,0
56,0.247,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
57,0.247,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
58,0.247,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
59,0.247,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
60,0.356,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
61,0.356,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
62,0.356,3,0,0,0,,,,,,,,0.00 ,2.72 ,2.72 ,0,0,0,0,0,2.55,2.55
63,0.356,3.25,17.51,19.93,16.84,,,,,,,,15.45 ,19.78 ,0.00 ,17.87,19.64,19.77,19.56,19.43,15.25,15.25
64,0.356,3.5,44.59,47.17,46.63,,,,,,,,46.48 ,48.97 ,48.97 ,46.1,49.16,49,0,48.91,45.29,45.29
65,0.356,3.75,30.07,35.42,34.54,,,,,,,,19.50 ,35.55 ,35.55 ,34.94,0,35.15,0,34.41,18.5,32.1
66,0.356,4,8.32,10.31,7.74,,,,,,,,10.02 ,10.57 ,10.57 ,9.72,10.1,10.11,9.99,10.86,7.65,7.65
67,0.356,4.25,0,0,0,,,,,,,,1.39 ,0.00 ,0.00 ,0,0,0,0,0,0,0
68,0.356,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
69,0.356,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
70,0.356,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
71,0.356,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
72,0.485,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
73,0.485,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
74,0.485,3,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
75,0.485,3.25,0,0,3.04,,,,,,,,2.96 ,3.17 ,3.17 ,3.08,3.35,3.35,2.51,0,0,0
